seed,beta,redundancy,w_sat,w_sat_proven,w_sat_status,w_sat_n_selected,corpus_token_mass,budget_tight,budget_medium,budget_loose,ordered,max_rho_dev,min_token,tight_affords_one,runtime_s
17,0.0,high,870,True,proven_optimal,7,2681,218,522,1305,True,0.0005747126436781436,31,True,0.03355979104526341
17,0.5,low,1086,True,proven_optimal,9,2681,272,652,1629,True,0.0004604051565377798,31,True,0.01723504194524139
17,0.5,high,1033,True,proven_optimal,6,2681,258,620,1550,True,0.0004840271055179812,31,True,0.033049499965272844
17,1.0,low,1470,True,proven_optimal,10,2681,368,882,2205,True,0.0003401360544217913,31,True,0.017367207910865545
17,1.0,high,1051,True,proven_optimal,6,2681,263,631,1576,True,0.0004757373929591413,31,True,0.0309482499724254
17,1.5,low,1470,True,proven_optimal,10,2681,368,882,2205,True,0.0003401360544217913,31,True,0.01762337505351752
17,1.5,high,1197,True,proven_optimal,7,2681,299,718,1796,True,0.0004177109440266502,31,True,0.026052791043184698
17,2.0,low,1470,True,proven_optimal,10,2681,368,882,2205,True,0.0003401360544217913,31,True,0.027727499953471124
17,2.0,high,1335,True,proven_optimal,8,2681,334,801,2002,True,0.0003745318352059712,31,True,0.02769170794636011
18,-0.5,low,630,True,proven_optimal,11,2033,158,378,945,True,0.0007936507936507908,42,True,0.016156124998815358
18,-0.5,high,462,True,proven_optimal,8,2033,116,277,693,True,0.0010822510822510734,42,True,0.01646349998190999
18,0.0,low,630,True,proven_optimal,11,2033,158,378,945,True,0.0007936507936507908,42,True,0.015592708019539714
18,0.0,high,419,True,proven_optimal,7,2033,105,251,628,True,0.0011933174224343368,42,True,0.03811762493569404
18,0.5,low,910,True,proven_optimal,12,2033,228,546,1365,True,0.0005494505494505475,42,True,0.03115291695576161
18,0.5,high,362,True,proven_optimal,6,2033,90,217,543,True,0.0013812154696132561,42,True,0.03204004198778421
18,1.0,low,957,True,proven_optimal,11,2033,239,574,1436,True,0.0005224660397074032,42,True,0.016018541995435953
18,1.0,high,452,True,proven_optimal,6,2033,113,271,678,True,0.0004424778761061843,42,True,0.038230333011597395
18,1.5,low,957,True,proven_optimal,11,2033,239,574,1436,True,0.0005224660397074032,42,True,0.015600625076331198
18,1.5,high,615,True,proven_optimal,7,2033,154,369,922,True,0.0008130081300812275,42,True,0.06873487506527454
18,2.0,low,1103,True,proven_optimal,11,2033,276,662,1654,True,0.0004533091568450498,42,True,0.04620870796497911
18,2.0,high,886,True,proven_optimal,8,2033,222,532,1329,True,0.0005643340857787726,42,True,0.08657208294607699
19,-0.5,low,770,True,proven_optimal,11,1964,192,462,1155,True,0.0006493506493506496,25,True,0.017901625018566847
19,-0.5,high,610,True,proven_optimal,9,1964,152,366,915,True,0.0008196721311475308,25,True,0.016774708055891097
19,0.0,low,947,True,proven_optimal,12,1964,237,568,1420,True,0.000527983104540608,25,True,0.0163735409732908
19,0.0,high,610,True,proven_optimal,9,1964,152,366,915,True,0.0008196721311475308,25,True,0.016555167036131024
19,0.5,low,947,True,proven_optimal,12,1964,237,568,1420,True,0.000527983104540608,25,True,0.016353874932974577
